Year,Month,Day,Entry,Entry Time,Risk,Exit,Exit Time,PnL,R2R
2017,01,03,8203.25,2017-01-03 11:05:00+05:30,100.0,8189.15,2017-01-03 15:20:00+05:30,-11.600000000000364,-0.11600000000000364
2017,01,04,8211.2,2017-01-04 09:16:00+05:30,100.0,8190.45,2017-01-04 15:20:00+05:30,-17.25,-0.1725
2017,01,05,8226.65,2017-01-05 09:15:00+05:30,100.0,8268.75,2017-01-05 15:20:00+05:30,43.5,0.435
2017,01,06,8292.3,2017-01-06 09:15:00+05:30,100.0,8246.35,2017-01-06 15:20:00+05:30,-43.899999999999636,-0.43899999999999634
2017,01,10,8262.7,2017-01-10 09:15:00+05:30,100.0,8291.1,2017-01-10 15:20:00+05:30,29.299999999999272,0.2929999999999927
2017,01,11,8329.85,2017-01-11 09:15:00+05:30,100.0,8377.55,2017-01-11 15:20:00+05:30,49.69999999999891,0.49699999999998906
2017,01,12,8395.8,2017-01-12 09:18:00+05:30,100.0,8407.45,2017-01-12 15:20:00+05:30,13.25,0.1325
2017,01,13,8457.65,2017-01-13 09:15:00+05:30,100.0,8397.15,2017-01-13 15:20:00+05:30,-58.350000000000364,-0.5835000000000037
2017,01,16,8419.35,2017-01-16 13:25:00+05:30,100.0,8411.9,2017-01-16 15:20:00+05:30,-6.950000000000728,-0.06950000000000728
2017,01,17,8439.95,2017-01-17 09:23:00+05:30,100.0,8396.05,2017-01-17 15:20:00+05:30,-41.05000000000109,-0.4105000000000109
2017,01,18,8421.45,2017-01-18 09:15:00+05:30,100.0,8416.85,2017-01-18 15:20:00+05:30,-4.350000000000364,-0.04350000000000364
2017,01,19,8435.85,2017-01-19 11:21:00+05:30,100.0,8433.1,2017-01-19 15:20:00+05:30,-0.75,-0.0075
2017,01,23,8368.4,2017-01-23 09:34:00+05:30,100.0,8395.25,2017-01-23 15:20:00+05:30,26.850000000000364,0.2685000000000036
2017,01,24,8419.5,2017-01-24 09:20:00+05:30,100.0,8476.95,2017-01-24 15:20:00+05:30,59.399999999999636,0.5939999999999963
2017,01,25,8499.45,2017-01-25 09:15:00+05:30,100.0,8609.15,2017-01-25 15:20:00+05:30,110.59999999999854,1.1059999999999854
2017,01,27,8625.4,2017-01-27 09:15:00+05:30,100.0,8636.05,2017-01-27 15:20:00+05:30,11.050000000001091,0.11050000000001091
2017,02,01,8580.25,2017-02-01 09:20:00+05:30,100.0,8711.85,2017-02-01 15:20:00+05:30,133.35000000000036,1.3335000000000037
2017,02,02,8742.15,2017-02-02 14:00:00+05:30,100.0,8725.5,2017-02-02 15:20:00+05:30,-16.5,-0.165
2017,02,03,8745.45,2017-02-03 09:55:00+05:30,100.0,8740.7,2017-02-03 15:20:00+05:30,-3.850000000000364,-0.038500000000003635
2017,02,06,8785.45,2017-02-06 09:15:00+05:30,100.0,8798.2,2017-02-06 15:20:00+05:30,15.649999999999636,0.15649999999999636
2017,02,09,8816.25,2017-02-09 09:15:00+05:30,100.0,8778.8,2017-02-09 15:20:00+05:30,-37.399999999999636,-0.37399999999999634
2017,02,10,8812.35,2017-02-10 09:15:00+05:30,100.0,8791.75,2017-02-10 15:20:00+05:30,-20.05000000000109,-0.20050000000001092
2017,02,13,8818.85,2017-02-13 09:15:00+05:30,100.0,8807.6,2017-02-13 15:20:00+05:30,-7.649999999999636,-0.07649999999999636
2017,02,15,8806.3,2017-02-15 09:15:00+05:30,100.0,8720.4,2017-02-15 15:20:00+05:30,-82.29999999999927,-0.8229999999999927
2017,02,16,8751.4,2017-02-16 09:15:00+05:30,100.0,8773.8,2017-02-16 15:20:00+05:30,22.55000000000109,0.22550000000001091
2017,02,17,8883.7,2017-02-17 09:15:00+05:30,100.0,8819.05,2017-02-17 15:20:00+05:30,-63.400000000001455,-0.6340000000000146
2017,02,20,8839.0,2017-02-20 10:34:00+05:30,100.0,8867.15,2017-02-20 15:20:00+05:30,32.0,0.32
2017,02,22,8931.45,2017-02-22 09:15:00+05:30,100.0,8926.6,2017-02-22 15:20:00+05:30,-2.600000000000364,-0.026000000000003638
2017,02,23,8952.55,2017-02-23 09:15:00+05:30,100.0,8936.15,2017-02-23 15:20:00+05:30,-15.199999999998909,-0.1519999999999891
2017,03,01,8904.4,2017-03-01 09:15:00+05:30,100.0,8942.4,2017-03-01 15:20:00+05:30,38.0,0.38
2017,03,02,8982.85,2017-03-02 09:15:00+05:30,100.0,8882.25,2017-03-02 15:15:00+05:30,-100.60000000000036,-1.0060000000000036
2017,03,06,8927.85,2017-03-06 09:15:00+05:30,100.0,8963.9,2017-03-06 15:20:00+05:30,36.5,0.365
2017,03,10,8953.7,2017-03-10 09:15:00+05:30,100.0,8932.75,2017-03-10 15:20:00+05:30,-20.950000000000728,-0.20950000000000726
2017,03,14,9091.65,2017-03-14 09:15:00+05:30,100.0,9084.05,2017-03-14 15:20:00+05:30,-3.0499999999992724,-0.030499999999992724
2017,03,15,9097.3,2017-03-15 09:53:00+05:30,100.0,9083.2,2017-03-15 15:20:00+05:30,-10.25,-0.1025
2017,03,16,9129.65,2017-03-16 09:15:00+05:30,100.0,9153.6,2017-03-16 15:20:00+05:30,25.80000000000109,0.2580000000000109
2017,03,17,9207.8,2017-03-17 09:15:00+05:30,100.0,9154.45,2017-03-17 15:20:00+05:30,-53.149999999999636,-0.5314999999999963
2017,03,23,9074.0,2017-03-23 09:15:00+05:30,100.0,9083.65,2017-03-23 15:20:00+05:30,10.75,0.1075
2017,03,24,9111.9,2017-03-24 09:31:00+05:30,100.0,9101.5,2017-03-24 15:20:00+05:30,-7.899999999999636,-0.07899999999999636
2017,03,28,9081.5,2017-03-28 09:15:00+05:30,100.0,9102.35,2017-03-28 15:20:00+05:30,20.850000000000364,0.20850000000000363
2017,03,29,9133.7,2017-03-29 09:15:00+05:30,100.0,9148.05,2017-03-29 15:20:00+05:30,15.149999999999636,0.15149999999999636
2017,03,30,9169.5,2017-03-30 09:45:00+05:30,100.0,9175.2,2017-03-30 15:20:00+05:30,6.899999999999636,0.06899999999999636
2017,03,31,9182.15,2017-03-31 14:08:00+05:30,100.0,9171.1,2017-03-31 15:20:00+05:30,-7.949999999998909,-0.07949999999998908
2017,04,03,9220.6,2017-04-03 09:15:00+05:30,100.0,9237.9,2017-04-03 15:20:00+05:30,19.100000000000364,0.19100000000000364
2017,04,05,9266.45,2017-04-05 14:35:00+05:30,100.0,9259.8,2017-04-05 15:20:00+05:30,-4.850000000000364,-0.04850000000000364
2017,04,10,9225.6,2017-04-10 09:15:00+05:30,100.0,9179.7,2017-04-10 15:20:00+05:30,-43.600000000000364,-0.43600000000000366
2017,04,11,9200.1,2017-04-11 09:48:00+05:30,100.0,9236.35,2017-04-11 15:20:00+05:30,36.5,0.365
2017,04,18,9163.0,2017-04-18 09:15:00+05:30,100.0,9101.9,2017-04-18 15:20:00+05:30,-56.45000000000073,-0.5645000000000073
2017,04,20,9137.0,2017-04-20 11:48:00+05:30,100.0,9137.9,2017-04-20 15:20:00+05:30,1.5,0.015
2017,04,21,9179.1,2017-04-21 09:15:00+05:30,100.0,9121.0,2017-04-21 15:20:00+05:30,-56.20000000000073,-0.5620000000000073
2017,04,24,9146.3,2017-04-24 09:18:00+05:30,100.0,9214.2,2017-04-24 15:20:00+05:30,69.80000000000109,0.698000000000011
