Year,Month,Day,Capital,Max Risk,No of lots,Trade Risk,Entry,Entry Time,Point Risk,Exit,Exit Time,PnL,New Capital
2017,01,23,996366.2499999998,9963.662499999999,2.0,7500.0,8368.4,2017-01-23 09:34:00+05:30,100.0,8395.25,2017-01-23 15:20:00+05:30,2013.7500000000273,998379.9999999998
2017,01,24,998379.9999999998,9983.799999999997,2.0,7500.0,8419.5,2017-01-24 09:20:00+05:30,100.0,8476.95,2017-01-24 15:20:00+05:30,4454.999999999973,1002834.9999999998
2017,01,25,1002834.9999999998,10028.349999999999,2.0,7500.0,8499.45,2017-01-25 09:15:00+05:30,100.0,8609.15,2017-01-25 15:20:00+05:30,8294.99999999989,1011129.9999999997
2017,01,27,1011129.9999999997,10111.299999999997,2.0,7500.0,8625.4,2017-01-27 09:15:00+05:30,100.0,8636.05,2017-01-27 15:20:00+05:30,828.7500000000819,1011958.7499999998
2017,02,01,1011958.7499999998,10119.587499999998,2.0,7500.0,8580.25,2017-02-01 09:20:00+05:30,100.0,8711.85,2017-02-01 15:20:00+05:30,10001.250000000027,1021959.9999999998
2017,02,02,1021959.9999999998,10219.599999999999,2.0,7500.0,8742.15,2017-02-02 14:00:00+05:30,100.0,8725.5,2017-02-02 15:20:00+05:30,-1237.5,1020722.4999999998
2017,02,03,1020722.4999999998,10207.224999999999,2.0,7500.0,8745.45,2017-02-03 09:55:00+05:30,100.0,8740.7,2017-02-03 15:20:00+05:30,-288.7500000000273,1020433.7499999998
2017,02,06,1020433.7499999998,10204.337499999998,2.0,7500.0,8785.45,2017-02-06 09:15:00+05:30,100.0,8798.2,2017-02-06 15:20:00+05:30,1173.7499999999727,1021607.4999999998
2017,02,09,1021607.4999999998,10216.074999999997,2.0,7500.0,8816.25,2017-02-09 09:15:00+05:30,100.0,8778.8,2017-02-09 15:20:00+05:30,-2804.9999999999727,1018802.4999999998
2017,02,10,1018802.4999999998,10188.024999999998,2.0,7500.0,8812.35,2017-02-10 09:15:00+05:30,100.0,8791.75,2017-02-10 15:20:00+05:30,-1503.7500000000819,1017298.7499999997
2017,02,13,1017298.7499999997,10172.987499999997,2.0,7500.0,8818.85,2017-02-13 09:15:00+05:30,100.0,8807.6,2017-02-13 15:20:00+05:30,-573.7499999999727,1016724.9999999997
2017,02,15,1016724.9999999997,10167.249999999996,2.0,7500.0,8806.3,2017-02-15 09:15:00+05:30,100.0,8720.4,2017-02-15 15:20:00+05:30,-6172.499999999945,1010552.4999999997
2017,02,16,1010552.4999999997,10105.524999999996,2.0,7500.0,8751.4,2017-02-16 09:15:00+05:30,100.0,8773.8,2017-02-16 15:20:00+05:30,1691.2500000000819,1012243.7499999998
2017,02,17,1012243.7499999998,10122.437499999998,2.0,7500.0,8883.7,2017-02-17 09:15:00+05:30,100.0,8819.05,2017-02-17 15:20:00+05:30,-4755.000000000109,1007488.7499999997
2017,02,20,1007488.7499999997,10074.887499999997,2.0,7500.0,8839.0,2017-02-20 10:34:00+05:30,100.0,8867.15,2017-02-20 15:20:00+05:30,2400.0,1009888.7499999997
